g3337,μεταλλάσσω,Verb,metallassó,(met-al-las'-so),"to change, exchange",to exchange,From  (G3326) meta and  (G236) allasso; to exchange -- change. <p>see GREEK  (G3326) meta <p>see GREEK  (G236) allasso
g3338,μεταμέλομαι,Verb,metamelomai,(met-am-el'-lom-ahee),"to regret, repent",repent ,"From  (G3326) meta and the middle voice of  (G3199) melo; to care afterwards, i.e. Regret -- repent (self). <p>see GREEK  (G3326) meta <p>see GREEK  (G3199) melo "
g3339,μεταμορφόω,Verb,metamorphoó,(met-am-or-fo'-o),to transform,"change, transfigure, transform. ","From  (G3326) meta and  (G3445) morphoo; to transform (literally or figuratively, ""metamorphose"") -- change, transfigure, transform. <p>see GREEK  (G3326) meta <p>see GREEK  (G3445) morphoo "
g3340,μετανοέω,Verb,metanoeó,(met-an-o-eh'-o),to change one\'s mind or purpose,repent. ,"From  (G3326) meta and  (G3539) noieo; to think differently or afterwards, i.e. Reconsider (morally, feel compunction) -- repent. <p>see GREEK  (G3326) meta <p>see GREEK  (G3539) noieo "
g3341,"μετάνοια, ας, ἡ","Noun, Feminine",metanoia,(met-an'-oy-ah),"change of mind, repentance",repentance. ,"From  (G3340) metanoeo; (subjectively) compunction (for guilt, including reformation); by implication, reversal (of (another's) decision) -- repentance. <p>see GREEK  (G3340) metanoeo "
g3342,μεταξύ,Adverb,metaxu,(met-ax-oo'),"between, after","between, meanwhile ","From  (G3326) meta and a form of  (G4862) sun; betwixt (of place or person); (of time) as adjective, intervening, or (by implication) adjoining -- between, mean while, next. <p>see GREEK  (G3326) meta <p>see GREEK  (G4862) sun "
g3343,μεταπέμπω,Verb,metapempó,(met-ap-emp'-o),to send after or for,"to send after, summon","From  (G3326) meta and  (G3992) pempo; to send from elsewhere, i.e. (middle voice) to summon or invite -- call (send) foreign <p>see GREEK  (G3326) meta <p>see GREEK  (G3992) pempo "
g3344,μεταστρέφω,Verb,metastrephó,(met-as-tref'-o),"to turn (about), to pervert","pervert, turn. ","From  (G3326) meta and  (G4762) strepho; to turn across, i.e. Transmute or (figuratively) corrupt -- pervert, turn. <p>see GREEK  (G3326) meta <p>see GREEK  (G4762) strepho "
g3345,μετασχηματίζω,Verb,metaschématizó,(met-askh-ay-mat-id'-zo),to change in fashion or appearance,"to transform, disguise","From  (G3326) meta and a derivative of  (G4976) schema; to transfigure or disguise; figuratively, to apply (by accommodation) -- transfer, transform (self). <p>see GREEK  (G3326) meta <p>see GREEK  (G4976) schema "
g3346,μετατίθημι,Verb,metatithemi,(met-at-ith'-ay-mee),"to transfer, change","carry over, change, translate","From  (G3326) meta and  (G5087) tithemi; to transfer, i.e. (literally) transport, (by implication) exchange, (reflexively) change sides, or (figuratively) pervert -- carry over, change, remove, translate, turn. <p>see GREEK  (G3326) meta <p>see GREEK  (G5087) tithemi "
g3347,μετέπειτα,Adverb,metepeita,(met-ep'-i-tah),afterwards,afterward. ,From  (G3326) meta and  (G1899) epeita; thereafter -- afterward. <p>see GREEK  (G3326) meta <p>see GREEK  (G1899) epeita
g3348,μετέχω,Verb,metechó,(met-ekh'-o),"to partake of, share in","partake, take part, use. ","From  (G3326) meta and  (G2192) echo; to share or participate; by implication, belong to, eat (or drink) -- be partaker, pertain, take part, use. <p>see GREEK  (G3326) meta <p>see GREEK  (G2192) echo "
g3349,μετεωρίζομαι,Verb,meteórizó,(met-eh-o-rid'-zo),"to raise on high, to be in suspense","to be anxious, worried","From a compound of  (G3326) meta and a collateral form of  (G142) airo or perhaps rather  (G109) aer (compare ""meteor""); to raise in mid-air, i.e. (figuratively) suspend (passively, fluctuate or be anxious) -- be of doubtful mind. <p>see GREEK  (G3326) meta <p>see GREEK  (G142) airo <p>see GREEK  (G109) aer "
g3350,"μετοικεσία, ας, ἡ","Noun, Feminine",metoikesia,(met-oy-kes-ee'-ah),change of abode,"change of residence, deportation","From a derivative of a compound of  (G3326) meta and  (G3624) oikos; a change of abode, i.e. (specially), expatriation -- X brought, carried(-ying) away (in-)to. <p>see GREEK  (G3326) meta <p>see GREEK  (G3624) oikos "
g3351,μετοικίζω,Verb,metoikizó,(met-oy-kid'-zo),to cause to migrate,"carry away, remove, exile to","From the same as  (G3350) metoikesia; to transfer as a settler or captive, i.e colonize or exile -- carry away, remove into. <p>see GREEK  (G3350) metoikesia "
g3352,"μετοχή, ῆς, ἡ","Noun, Feminine",metoché,(met-okh-ay'),sharing,fellowship. ,"From  (G3348) metecho; participation, i.e. Intercourse -- fellowship. <p>see GREEK  (G3348) metecho "
g3353,"μέτοχος, ου, ὁ",Adjective,metochos,(met'-okh-os),sharing in,"fellow, partaker, partner. ","From  (G3348) metecho; participant, i.e. (as noun) a sharer; by implication, an associate -- fellow, partaker, partner. <p>see GREEK  (G3348) metecho "
g3354,μετρέω,Verb,metreó,(met-reh'-o),"to measure, measure out","estimate, measure, mete. ","From  (G3358) metron; to measure (i.e. Ascertain in size by a fixed standard); by implication, to admeasure (i.e. Allot by rule) -- figuratively, to estimate -- measure, mete. <p>see GREEK  (G3358) metron "
g3355,"μετρητής, οῦ, ὁ","Noun, Masculine",metrétés,(met-ray-tace'),"a measurer, a measure","firkin, a liquid measure","From  (G3354) metreo; a measurer, i.e. (specially), a certain standard measure of capacity for liquids -- firkin. <p>see GREEK  (G3354) metreo "
g3356,μετριοπαθέω,Verb,metriopatheó,(met-ree-op-ath-eh'-o),to hold one\'s emotions in restraint,have compassion. ,"From a compound of the base of  (G3357) metrios and  (G3806) pathos; to be moderate in passion, i.e. Gentle (to treat indulgently) -- have compassion. <p>see GREEK  (G3357) metrios <p>see GREEK  (G3806) pathos "
g3357,μετρίως,Adverb,metriós,(met-ree'-oce),moderately,a little. ,"Adverb from a derivative of  (G3358) metron; moderately, i.e. Slightly -- a little. <p>see GREEK  (G3358) metron "
g3358,"μέτρον, ου, τό","Noun, Neuter",metron,(met'-ron),a measure,measure. ,"An apparently primary word; a measure (""metre""), literally or figuratively; by implication, a limited portion (degree) -- measure. "
g3359,"μέτωπον, ου, τό","Noun, Neuter",metópon,(met'-o-pon),the forehead,forehead. ,From  (G3326) meta and ops (the face); the forehead (as opposite the countenance) -- forehead. <p>see GREEK  (G3326) meta
g3360,μέχρι,Adverb,mechri or mechris,(mekh'-ree),"as far as, until","till, until. ","Or mechris (mekh-ris'); from  (G3372) mekos; as far as, i.e. Up to a certain point (as a preposition, of extent (denoting the terminus, whereas  (G891) achri refers especially to the space of time or place intervening) or conjunction) -- till, (un-)to, until. <p>see GREEK  (G3372) mekos <p>see GREEK  (G891) achri "
g3361,μή,"Particle, Negative",mé,(may),"not, that...not, lest (used for qualified negation)","not, lest, neither, never","A primary particle of qualified negation (whereas  (G3756) ou expresses an absolute denial); (adverb) not, (conjunction) lest; also (as an interrogative implying a negative answer (whereas  (G3756) ou expects an affirmative one)) whether -- any but (that), X forbear, + God forbid, + lack, lest, neither, never, no (X wise in), none, nor, (can-)not, nothing, that not, un(-taken), without. Often used in compounds in substantially the same relations. See also  (G3362) ean me,  (G3363) hina me,  (G3364) ou me,  (G3372) mekos,  (G3373) mekuno,  (G3375) men,  (G3378) me ouk. <p>see GREEK  (G3756) ou <p>see GREEK  (G3362) ean me <p>see GREEK  (G3363) hina me <p>see GREEK  (G3364) ou me <p>see GREEK  (G3372) mekos <p>see GREEK  (G3373) mekuno <p>see GREEK  (G3375) men <p>see GREEK  (G3378) me ouk "
g3362,ἐὰν,-,ean mé,(eh-an' may),"before, but, except","before, but, except","I.e.  (G1437) ean and  (G3361) me; if not, i.e. Unless -- X before, but, except, if, no, (if, + whosoever) not. <p>see GREEK  (G3361) me <p>see GREEK  (G1437) ean "
g3363,ἵνα,-,hina mé,(hin'-ah may),"albeit not, lest, that","albeit not, lest, that","I.e.  (G2443) hina and  (G3361) me; in order (or so) that not -- albeit not, lest, that, no(-t, (-thing)). <p>see GREEK  (G3361) me <p>see GREEK  (G2443) hina "
g3364,οὐ,-,ou mé,(oo may),"anymore, at all, neither, never","anymore, at all, neither, never","I.e.  (G3756) ou and  (G3361) me; a double negative strengthening the denial; not at all -- any more, at all, by any (no) means, neither, never, no (at all), in no case (wise), nor ever, not (at all, in any wise). Compare  (G3378) me ouk. <p>see GREEK  (G3361) me <p>see GREEK  (G3378) me ouk <p>see GREEK  (G3756) ou "
g3365,μηδαμῶς,"Adverb, Negative",médamós,(may-dam-oce'),by no means,not so. ,Adverb from a compound of  (G3361) me and amos (somebody); by no means -- not so. <p>see GREEK  (G3361) me
g3366,μηδέ,"Conjunction,Negative",méde,(may-deh'),"but not, and not","neither, nor, not","From  (G3361) me and  (G1161) de; but not, not even; in a continued negation, nor -- neither, nor (yet), (no) not (once, so much as). <p>see GREEK  (G3361) me <p>see GREEK  (G1161) de "
g3367,"μηδείς, μηδεμία, μηδέν",Adjective,"médeis, médemia, méden",(may-dice'),"no one, nothing","no one, nothing","Including the irregular feminine medemia may-dem-ee'-ah, and the neuter meden (may-den') from  (G3361) me and  (G1520) heis; not even one (man, woman, thing) -- any (man, thing), no (man), none, not (at all, any man, a whit), nothing, + without delay. <p>see GREEK  (G3361) me <p>see GREEK  (G1520) heis "
g3368,μηδέποτε,"Adverb, Negative",médepote,(may-dep'-ot-eh),never,never. ,From  (G3366) mede and  (G4218) pote; not even ever -- never. <p>see GREEK  (G3366) mede <p>see GREEK  (G4218) pote
g3369,μηδέπω,"Adverb, Negative",médepó,(may-dep'-o),not yet,not yet. ,From  (G3366) mede and  (G4452) po; not even yet -- not yet. <p>see GREEK  (G3366) mede <p>see GREEK  (G4452) po
g3370,"Μῆδος, ου, ὁ","Noun, Masculine",Médos,(may'-dos),"a Mede, Median, an inhabitant of Media",Mede. ,"Of foreign origin (compare  (H4074) Maday); a Median, or inhabitant of Media -- Mede. <p>see HEBREW  (H4074) Maday "
g3371,μηκέτι,"Adverb, Negative",méketi,(may-ket'-ee),"no longer, not anymore","no longer, not any more. ","From  (G3361) me and  (G2089) eti; no further -- any longer, (not) henceforth, hereafter, no henceforward (longer, more, soon), not any more. <p>see GREEK  (G3361) me <p>see GREEK  (G2089) eti "
g3372,"μῆκος, ους, τό","Noun, Neuter",mékos,(may'-kos),length,length,Probably akin to  (G3173) megas; length (literally or figuratively) length. <p>see GREEK  (G3173) megas
g3373,μηκύνω,Verb,mékunó,(may-koo'-no),"to lengthen, grow",grow up. ,"From  (G3372) mekos; to lengthen, i.e. (middle voice) to enlarge -- grow up. <p>see GREEK  (G3372) mekos "
g3374,"μηλωτή, ῆς, ἡ","Noun, Feminine",mélóté,(may-lo-tay'),a sheepskin,sheepskin. ,From melon (a sheep); a sheep-skin -- sheepskin.
g3375,μήν,"Particle, Disjunctive Particle",mén,(mane),certainly,surely,A stronger form of  (G3303) men; a particle of affirmation (only with  (G2229) e); assuredly -- + surely. <p>see GREEK  (G3303) men <p>see GREEK  (G2229) e
g3376,"μήν, μηνός, ὁ","Noun, Masculine",mén,(mane),a month,month. ,A primary word; a month -- month.
g3377,μηνύω,Verb,ménuó,(may-noo'-o),"to make known, report","show, tell. ","Probably from the same base as  (G3145) massaomai and  (G3415) mnaomai (i.e. Mao, to strive); to disclose (through the idea of mental effort and thus calling to mind), i.e. Report, declare, intimate -- shew, tell. <p>see GREEK  (G3145) massaomai <p>see GREEK  (G3415) mnaomai "
g3378,μὴ,-,mé ouk,(may ook),"neither, never, not","neither, never, not. ","I.e.  (G3361) me and  (G3756) ou; as interrogative and negative, is it not that? -- neither (followed by no), + never, not. Compare  (G3364) ou me. <p>see GREEK  (G3756) ou <p>see GREEK  (G3364) ou me <p>see GREEK  (G3361) me "
g3379,μήποτε,"Adverb, Negative",mépote,(may'-pot-eh),"never, lest ever","peradventure, lest","Or me pote (may pot'-eh) from  (G3361) me and  (G4218) pote; not ever; also if (or lest) ever (or perhaps) -- if peradventure, lest (at any time, haply), not at all, whether or not. <p>see GREEK  (G3361) me <p>see GREEK  (G4218) pote "
g3380,μήπω,"Adverb, Negative",mepo,(may'-po),"lest anywhere, lest perhaps",not yet. ,From  (G3361) me and  (G4452) po; not yet -- not yet. <p>see GREEK  (G3361) me <p>see GREEK  (G4452) po
g3381,μήπως,"Conjunction,Negative",mé pós,(may'-pos),"lest perhaps, whether perhaps",lest,"Or me pos (may poce) from  (G3361) me and  (G4458) pos; lest somehow -- lest (by any means, by some means, haply, perhaps). <p>see GREEK  (G3361) me <p>see GREEK  (G4458) pos "
g3382,"μηρός, οῦ, ὁ","Noun, Masculine",méros,(may-ros'),the thigh,thigh. ,Perhaps a primary word; a thigh -- thigh.
g3383,μήτε,"Conjunction,Negative",méte,(may'-teh),"neither, nor","neither, nor","From  (G3361) me and  (G5037) te; not too, i.e. (in continued negation) neither or nor; also, not even -- neither, (n-)or, so as much. <p>see GREEK  (G3361) me <p>see GREEK  (G5037) te "
g3384,"μήτηρ, μητρός, ἡ","Noun, Feminine",métér,(may'-tare),mother,mother. ,"Apparently a primary word; a ""mother"" (literally or figuratively, immediate or remote) -- mother. "
g3385,μήτι,"Particle, Interrogative",méti,(may'-tee),can this be? (interrogative particle expecting a negative answer),not,"From  (G3361) me and the neuter of  (G5100) tis; whether at all -- not (the particle usually not expressed, except by the form of the question). <p>see GREEK  (G3361) me <p>see GREEK  (G5100) tis "
g3386,μήτιγε,-,méti ge,(may'-tig-eh),"let alone, much less, much more",how much more. ,"From  (G3385) meti and  (G1065) ge; not at all then, i.e. Not to say (the rather still) -- how much more. <p>see GREEK  (G3385) meti <p>see GREEK  (G1065) ge "
g3387,μήτις,-,mé tis,(may'-tis),any,any,Or me tis (may tis) from  (G3361) me and  (G5100) tis; whether any -- any (sometimes unexpressed except by the simple interrogative form of the sentence). <p>see GREEK  (G3361) me <p>see GREEK  (G5100) tis
g3388,"μήτρα, ας, ἡ","Noun, Feminine",métra,(may'-trah),the womb,womb. ,From  (G3384) meter; the matrix -- womb. <p>see GREEK  (G3384) meter
g3389,"μητραλῴας, ου, ὁ","Noun, Masculine",métrolóas,(may-tral-o'-as),a matricide,murderer of mothers. ,"From  (G3384) meter and the base of  (G257) halon; a mother-thresher, i.e. Matricide -- murderer of mothers. <p>see GREEK  (G3384) meter <p>see GREEK  (G257) halon "
g3390,μητρόπολις,-,métropolis,(may-trop'-ol-is),a metropolis,"chief city, mother city","From  (G3384) meter and  (G4172) polis; a mother city, i.e. ""metropolis"" -- chiefest city. <p>see GREEK  (G3384) meter <p>see GREEK  (G4172) polis "
g3391,μία,-,mia,(mee'-ah),"first, one, other","first, one, other.","Irregular feminine of  (G1520) heis; one or first -- a (certain), + agree, first, one, X other. <p>see GREEK  (G1520) heis "
g3392,μιαίνω,Verb,miainó,(me-ah'-ee-no),"to stain, defile",defile. ,"Perhaps a primary verb; to sully or taint, i.e. Contaminate (ceremonially or morally) -- defile. "
g3393,"μίασμα, ατος, τό","Noun, Neuter",miasma,(mee'-as-mah),"a stain, defilement","pollution, foul deed","From  (G3392) miaino (""miasma""); (morally) foulness (properly, the effect) -- pollution. <p>see GREEK  (G3392) miaino "
g3394,"μιασμός, οῦ, ὁ","Noun, Masculine",miasmos,(mee-as-mos'),the act of defiling,"uncleanness, contamination","From  (G3392) miaino; (morally) contamination (properly, the act) -- uncleanness. <p>see GREEK  (G3392) miaino "
g3395,"μίγμα, ατος, τό","Noun, Neuter",migma,(mig'-mah),a mixture,mixture. ,From  (G3396) mignumi; a compound -- mixture. <p>see GREEK  (G3396) mignumi
g3396,μίγνυμι,Verb,mignumi,(mig'-noo-mee),to mix,mingle. ,A primary verb; to mix -- mingle.
g3397,"μικρόν, ου, τό","Noun, Masculine; Noun, Neuter",mikron,(mik-ron'),a little ,a little ,Masculine or neuter singular of  (G3398) mikros (as noun); a small space of time or degree -- a (little) (while). <p>see GREEK  (G3398) mikros
g3398,"μικρός, ά, όν",Adjective,mikros,(mik-ros'),"small, little","least, less, little, small. ","Including the comparative mikroteros (ik-rot'-er-os) apparently a primary word; small (in size, quantity, number or (figuratively) dignity) -- least, less, little, small. "
g3399,"Μίλητος, ου, ἡ","Noun, Feminine",Milétos,(mil'-ay-tos),"Miletus, a city in S.W. Asia Minor",Miletus. ,"Of uncertain origin; Miletus, a city of Asia Minor -- Miletus. "
g3400,"μίλιον, ου, τό","Noun, Neuter",milion,(mil'-ee-on),a Roman mile (about 1618 yards),mile. ,"Of Latin origin; a thousand paces, i.e. A ""mile"" -- mile. "
g3401,μιμέομαι,Verb,mimeomai,(mim-eh'-om-ahee),to imitate,follow. ,"Middle voice from mimos (a ""mimic""); to imitate -- follow. "
g3402,"μιμητής, οῦ, ὁ","Noun, Masculine",mimétés,(mim-ay-tace'),an imitator,follower. ,From  (G3401) mimeomai; an imitator -- follower. <p>see GREEK  (G3401) mimeomai
g3403,μιμνήσκομαι,Verb,mimnéskó,(mim-nace'-ko),"to remind, remember","be mindful, remember. ","A prolonged form of  (G3415) mnaomai (from which some of the tenses are borrowed); to remind, i.e. (middle voice) to recall to mind -- be mindful, remember. <p>see GREEK  (G3415) mnaomai "
g3404,μισέω,Verb,miseó,(mis-eh'-o),to hate,hate,"From a primary misos (hatred); to detest (especially to persecute); by extension, to love less -- hate(-ful). "
g3405,"μισθαποδοσία, ας, ἡ","Noun, Feminine",misthapodosia,(mis-thap-od-os-ee'-ah),payment of wages,recompense of reward. ,From  (G3406) misthapodotes; requital (good or bad) -- recompence of reward. <p>see GREEK  (G3406) misthapodotes
g3406,"μισθαποδότης, ου, ὁ","Noun, Masculine",misthapodotés,(mis-thap-od-ot'-ace),one who pays wages,rewarder. ,From  (G3409) misthoo and  (G591) apodidomi; a renumerator -- rewarder. <p>see GREEK  (G3409) misthoo <p>see GREEK  (G591) apodidomi
g3407,"μίσθιος, ου, ὁ",Adjective,misthios,(mis'-thee-os),a hired servant,hired servant. ,From  (G3408) misthos; a wage-earner -- hired servant. <p>see GREEK  (G3408) misthos
g3408,"μισθός, οῦ, ὁ","Noun, Masculine",misthos,(mis-thos'),"wages, hire","reward, wages. ","Apparently a primary word; pay for service (literally or figuratively), good or bad -- hire, reward, wages. "
g3409,μισθόω,Verb,misthoó,(mis-tho'-o),"to let for hire, to hire",hire. ,"From  (G3408) misthos; to let out for wages, i.e. (middle voice) to hire -- hire. <p>see GREEK  (G3408) misthos "
g3410,"μίσθωμα, ατος, τό","Noun, Neuter",misthóma,(mis'-tho-mah),"rent, a rented house",rented house. ,From  (G3409) misthoo; a rented building -- hired house. <p>see GREEK  (G3409) misthoo
g3411,"μισθωτός, οῦ, ὁ","Noun, Masculine",misthótos,(mis-tho-tos'),"hired, a hired servant","hired servant, hireling. ","From  (G3409) misthoo; a wage-worker (good or bad) -- hired servant, hireling. <p>see GREEK  (G3409) misthoo "
g3412,"Μιτυλήνη, ης, ἡ","Noun, Feminine",Mituléné,(mit-oo-lay'-nay),"Mitylene, the chief city of Lesbos",Mitylene. ,"For mutilene (abounding in shellfish); Mitylene (or Mytilene), a town on the island of Lesbos -- Mitylene. "
g3413,"Μιχαήλ, ὁ","Proper Noun, Indeclinable",Michaél,(mikh-ah-ale'),"Michael, the archangel",Michael. ,"Of Hebrew origin ( (H4317) Miyka'el); Michael, an archangel -- Michael. <p>see HEBREW  (H4317) Miyka'el "
g3414,"μνᾶ, ᾶς, ἡ","Noun, Feminine",mna,(mnah),a mina (Greek  monetary unit),"pound, mina","Of Latin origin; a mna (i.e. Mina), a certain weight -- pound. "
g3415,μνάομαι,Verb,mnaomai,(mnah'-om-ahee),"be mindful, remember","be mindful, remember","Middle voice of a derivative of  (G3306) meno or perhaps of the base of  (G3145) massaomai (through the idea of fixture in the mind or of mental grasp); to bear in mind, i.e. Recollect; by implication, to reward or punish -- be mindful, remember, come (have) in remembrance. Compare  (G3403) mimnesko. <p>see GREEK  (G3403) mimnesko <p>see GREEK  (G3306) meno <p>see GREEK  (G3145) massaomai "
g3416,"Μνάσων, ωνος, ὁ","Noun, Masculine",Mnasón,(mnah'-sohn),"Mnason, a Christian",Mnason. ,"Of uncertain origin; Mnason, a Christian -- Mnason. "
g3417,"μνεία, ας, ἡ","Noun, Feminine",mneia,(mni'-ah),"remembrance, mention","mention, remembrance. ","From  (G3415) mnaomai or  (G3403) mimnesko; recollection; by implication, recital -- mention, remembrance. <p>see GREEK  (G3415) mnaomai <p>see GREEK  (G3403) mimnesko "
g3418,"μνῆμα, ατος, τό","Noun, Neuter",mnéma,(mnay'-mah),"a memorial, a sepulcher","grave, sepulcher, tomb. ","From  (G3415) mnaomai; a memorial, i.e. Sepulchral monument (burial-place) -- grave, sepulchre, tomb. <p>see GREEK  (G3415) mnaomai "
g3419,"μνημεῖον, ου, τό","Noun, Neuter",mnémeion,(mnay-mi'-on),"a memorial, a monument","grave, sepulcher, tomb. ","From  (G3420) mneme; a remembrance, i.e. Cenotaph (place of interment) -- grave, sepulchre, tomb. <p>see GREEK  (G3420) mneme "
g3420,"μνήμη, ης, ἡ","Noun, Feminine",mnémé,(mnay'-may),"memory, remembrance",remembrance. ,From  (G3403) mimnesko; memory -- remembrance. <p>see GREEK  (G3403) mimnesko
g3421,μνημονεύω,Verb,mnémoneuó,(mnay-mon-yoo'-o),"to call to mind, to make mention of","make mention; be mindful, remember. ","From a derivative of  (G3420) mneme; to exercise memory, i.e. Recollect; by implication, to punish; also to rehearse -- make mention; be mindful, remember. <p>see GREEK  (G3420) mneme "
g3422,"μνημόσυνον, ου, τό","Noun, Neuter",mnémosunon,(mnay-mos'-oo-non),a memorial,memorial. ,"From  (G3421) mnemoneuo; a reminder (memorandum), i.e. Record -- memorial. <p>see GREEK  (G3421) mnemoneuo "
g3423,μνηστεύω,Verb,mnésteuó,(mnace-tyoo'-o),"to espouse, betroth",espouse. ,"From a derivative of  (G3415) mnaomai; to give a souvenir (engagement present), i.e. Betroth -- espouse. <p>see GREEK  (G3415) mnaomai "
g3424,"μογγιλάλος, ου, ὁ",Adjective,mogilalos,(mog-il-al'-os),speaking with difficulty,having an impediment in his speech. ,"From  (G3425) mogis and  (G2980) laleo; hardly talking, i.e. Dumb (tongue-tied) -- having an impediment in his speech. <p>see GREEK  (G3425) mogis <p>see GREEK  (G2980) laleo "
g3425,μόγις,Adverb,mogis,(mog'-is),hardly,hardly. ,Adverb from a primary mogos (toil); with difficulty -- hardly.
g3426,"μόδιος, ου, ὁ","Noun, Masculine",modios,(mod'-ee-os),"modius, a dry measure of one peck",bushel. ,"Of Latin origin; a modius, i.e. Certain measure for things dry (the quantity or the utensil) -- bushel. "
g3427,μοί,-,moi,(moy),"I, me, mine, my","I, me, mine, my. ","The simpler form of  (G1698) emoi; to me -- I, me, mine, my. <p>see GREEK  (G1698) emoi "
g3428,"μοιχαλίς, ίδος, ἡ","Noun, Feminine",moichalis,(moy-khal-is'),an adulteress,adulteress,"A prolonged form of the feminine of  (G3432) moichos; an adulteress (literally or figuratively) -- adulteress(-ous, -y). <p>see GREEK  (G3432) moichos "
g3429,μοιχάομαι,Verb,moichaó,(moy-khah'-o),to commit adultery with,commit adultery. ,From  (G3432) moichos; (middle voice) to commit adultery -- commit adultery. <p>see GREEK  (G3432) moichos
g3430,"μοιχεία, ας, ἡ","Noun, Feminine",moicheia,(moy-khi'-ah),adultery,adultery. ,From  (G3431) moicheuo; adultery -- adultery. <p>see GREEK  (G3431) moicheuo
g3431,μοιχεύω,Verb,moicheuó,(moy-khyoo'-o),to commit adultery,commit adultery. ,From  (G3432) moichos; to commit adultery -- commit adultery. <p>see GREEK  (G3432) moichos
g3432,"μοιχός, οῦ, ὁ","Noun, Masculine",moichos,(moy-khos'),an adulterer,adulterer. ,"Perhaps a primary word; a (male) paramour; figuratively, apostate -- adulterer. "
g3433,μόλις,Adverb,molis,(mol'-is),with difficulty,with difficulty,"Probably by variation for  (G3425) mogis; with difficulty -- hardly, scarce(-ly), + with much work. <p>see GREEK  (G3425) mogis "
g3434,"Μολόχ, ὁ","Proper Noun, Indeclinable",Moloch,(mol-okh'),"Moloch, the god of the Ammonites",Moloch. ,"Of Hebrew origin ( (H4432) Molek); Moloch (i.e. Molek), an idol -- Moloch. <p>see HEBREW  (H4432) Molek "
g3435,μολύνω,Verb,molunó,(mol-oo'-no),"to stain, defile",defile. ,Probably from  (G3189) melas; to soil (figuratively) -- defile. <p>see GREEK  (G3189) melas
g3436,"μολυσμός, οῦ, ὁ","Noun, Masculine",molusmos,(mol-oos-mos'),defilement,"filthiness, immorality",From  (G3435) moluno; a stain; i.e. (figuratively) immorality -- filthiness. <p>see GREEK  (G3435) moluno
